SpMax_L,J_Dz(e),nHM,F01[N-N],F04[C-N],NssssC,nCb-,C%,nCp,nO,F03[C-N],SdssC,HyWi_B(m),LOC,SM6_L,F03[C-O],Me,Mi,nN-N,nArNO2,nCRX3,SpPosA_B(p),nCIR,B01[C-Br],B03[C-Cl],N-073,SpMax_A,Psi_i_1d,B04[C-Br],SdO,TI2_L,nCrt,C-026,F02[C-N],nHDon,SpMax_B(m),Psi_i_A,nN,SM6_B(m),nArCOOR,nX,Class*
5.146,2.3537,1,1,15,0,9,39.4,2,8,18,-0.878,4.696,1.471,11.447,12,1.036,1.133,0,2,0,1.234,3,0,1,0,2.439,0,0,68.836,4.958,0,8,17,1,4.062,2.791,6,9.906,0,1,1
5.127,2.3092,0,1,15,0,8,39.4,2,8,18,-0.843,4.63,1.474,11.395,12,1.031,1.134,0,2,0,1.226,3,0,0,0,2.431,0,0,68.414,4.899,0,7,17,1,3.959,2.767,6,9.783,0,0,1
4.958,1.994,1,1,13,0,6,41.3,2,2,15,0,4.33,1.476,11.064,4,1.014,1.127,0,1,0,1.296,4,0,0,0,2.422,0,0,21.767,5.289,0,3,13,0,4.297,2.482,6,9.68,0,0,1
5.014,1.9369,3,1,10,0,6,43.9,1,0,12,0,4.364,1.423,10.971,0,1.013,1.117,0,0,0,1.335,4,0,1,0,2.439,0,0,0,5.224,0,4,11,0,4.354,2.297,5,9.78,0,2,1
4.97,1.9216,3,1,10,0,6,43.9,1,0,12,0,4.364,1.423,10.971,0,1.013,1.117,0,0,0,1.334,4,0,1,0,2.428,0,0,0,5.251,0,4,11,0,4.328,2.297,5,9.78,0,2,1
4.704,1.8224,0,2,12,0,6,47.4,0,2,16,0,4.12,0.49,10.767,4,1.013,1.118,0,0,0,1.269,3,0,0,0,2.277,0,0,0,5.547,0,6,12,2,3.766,2.417,4,9.201,0,0,1
5.216,1.9408,1,0,5,0,8,51.4,0,2,9,-0.382,4.211,0.566,11.057,6,1.013,1.104,0,0,0,1.322,7,0,1,1,2.53,0,0,12.687,3.608,0,3,7,3,4.101,2.38,2,9.502,0,1,1
5.058,2.5326,3,1,8,0,7,38.1,2,4,12,0,4.401,1.487,11.015,4,1.045,1.133,0,1,0,1.255,2,0,1,0,2.385,0,0,21.604,4.881,0,7,12,2,4.095,2.815,4,9.715,0,3,1
4.871,1.8116,1,1,9,0,3,42.6,0,2,12,0,4.357,1.107,10.946,2,1.014,1.124,0,1,0,1.296,3,0,0,0,2.327,0,0,21.375,5.5,0,2,11,0,4.247,2.471,6,9.645,0,0,1
4.913,1.9555,0,2,14,0,7,44.2,0,4,18,0,4.287,0.845,10.988,8,1.029,1.126,0,1,0,1.249,3,0,0,0,2.335,0,0,21.325,5.539,0,7,14,1,3.857,2.613,5,9.442,0,0,1
