volAc,chlorides,density,fixAc,totalSuDi,citAc,resSu,pH,sulphates,freeSulDi,alcohol,quality*
0.65,0.065,0.9946,7.3,21.0,0.0,1.2,3.39,0.47,15.0,10.0,Superior
0.58,0.073,0.9968,7.8,18.0,0.02,2.0,3.36,0.57,9.0,9.5,Superior
0.28,0.092,0.9969,8.5,103.0,0.56,1.8,3.3,0.75,35.0,10.5,Superior
0.38,0.066,0.9968,8.1,30.0,0.28,2.1,3.23,0.73,13.0,9.7,Superior
0.52,0.085,0.9968,7.5,35.0,0.16,1.9,3.38,0.62,12.0,9.5,Superior
0.59,0.065,0.9962,8.0,16.0,0.16,1.8,3.42,0.92,3.0,10.5,Superior
0.835,0.046,0.9924,5.4,93.0,0.08,1.2,3.57,0.85,13.0,13.0,Superior
0.32,0.056,0.99695,9.6,24.0,0.47,1.4,3.22,0.82,9.0,10.3,Superior
0.3,0.095,0.9994,12.8,28.0,0.74,2.6,3.2,0.77,9.0,10.8,Superior
0.3,0.095,0.9994,12.8,28.0,0.74,2.6,3.2,0.77,9.0,10.8,Superior
0.3,0.054,0.998,11.0,19.0,0.58,2.1,3.31,0.88,7.0,10.5,Superior
0.48,0.054,0.9927,5.2,106.0,0.04,1.6,3.54,0.62,19.0,12.2,Superior
0.21,0.075,1.00005,15.0,24.0,0.44,2.2,3.07,0.84,10.0,9.2,Superior
0.21,0.075,1.00005,15.0,24.0,0.44,2.2,3.07,0.84,10.0,9.2,Superior
0.31,0.085,0.99965,10.0,33.0,0.47,2.6,3.36,0.8,14.0,10.5,Superior
0.26,0.071,0.9968,11.8,10.0,0.52,1.8,3.2,0.72,6.0,10.2,Superior
0.35,0.078,0.9973,7.9,37.0,0.46,3.6,3.35,0.86,15.0,12.8,Superior
0.32,0.073,0.9976,10.3,13.0,0.45,6.4,3.23,0.82,5.0,12.6,Superior
0.4,0.087,0.9991,8.9,47.0,0.32,5.6,3.38,0.77,10.0,10.5,Superior
0.27,0.358,0.9972,7.7,10.0,0.68,3.5,3.25,1.08,5.0,9.9,Superior
0.4,0.087,0.9991,8.9,47.0,0.32,5.6,3.38,0.77,10.0,10.5,Superior
0.52,0.091,0.9976,8.7,49.0,0.09,2.5,3.34,0.86,20.0,10.6,Superior
0.52,0.091,0.9976,8.7,49.0,0.09,2.5,3.34,0.86,20.0,10.6,Superior
0.66,0.083,0.9989,9.8,59.0,0.39,3.2,3.37,0.71,21.0,11.5,Superior
0.66,0.083,0.9989,9.8,59.0,0.39,3.2,3.37,0.71,21.0,11.5,Superior
0.53,0.121,0.9978,11.6,14.0,0.66,3.65,3.05,0.74,6.0,11.5,Superior
0.65,0.078,0.9963,7.9,38.0,0.01,2.5,3.34,0.74,17.0,11.7,Superior
0.695,0.128,0.9992,11.9,21.0,0.53,3.4,3.17,0.84,7.0,12.2,Superior
0.28,0.082,0.9997,12.5,29.0,0.54,2.3,3.11,1.36,12.0,9.8,Superior
0.815,0.072,0.9955,6.6,34.0,0.02,2.7,3.58,0.89,17.0,12.3,Superior
0.42,0.116,0.997,10.5,29.0,0.66,2.95,3.24,0.75,12.0,11.7,Superior
0.43,0.109,1.0,11.9,23.0,0.66,3.1,3.15,0.85,10.0,10.4,Superior
0.615,0.083,1.0022,12.8,42.0,0.66,5.8,3.07,0.73,7.0,10.0,Superior
0.615,0.083,1.0022,12.8,42.0,0.66,5.8,3.07,0.73,7.0,10.0,Superior
0.27,0.074,0.9962,9.4,18.0,0.53,2.4,3.2,1.13,6.0,12.0,Superior
0.54,0.124,0.9984,11.5,15.0,0.71,4.4,3.01,0.83,6.0,11.8,Superior
0.27,0.074,0.9962,9.4,18.0,0.53,2.4,3.2,1.13,6.0,12.0,Superior
0.38,0.096,0.9982,9.6,49.0,0.31,2.5,3.19,0.7,16.0,10.0,Superior
0.85,0.045,0.9924,5.6,88.0,0.05,1.4,3.56,0.82,12.0,12.9,Superior
0.37,0.066,1.0004,12.0,38.0,0.76,4.2,3.22,0.6,7.0,13.0,Superior
0.39,0.093,0.9996,12.0,30.0,0.66,3.0,3.18,0.63,12.0,10.8,Superior
